Categorie,Naam,Prijsklasse,Keuken,Type Concept,Sfeer,Stijl,Muziekstijl,Type Uitgaan,Adres,Openingstijden,Beoordeling
Uitgaan,Ahoy,,,,,,house,groot event met ticket,"Straat 227, 3017 AA Rotterdam",07:00 - 20:00,4.8
Restaurant,Restaurant Fitzgerald,goedkoop,Midden-Oosten,fine-dining,druk,,,,"Straat 228, 3018 AA Rotterdam",07:00 - 20:00,4
Parken,Dakpark,,,,,,,,"Straat 229, 3019 AA Rotterdam",12:00 - 02:00,4.8
Uitgaan,Annabel,,,,,,techno,groot event met ticket,"Straat 230, 3010 AA Rotterdam",10:00 - 00:00,4
Parken,Museumpark,,,,,,,,"Straat 231, 3011 AA Rotterdam",07:00 - 20:00,3.9
Parken,Zuiderpark,,,,,,,,"Straat 232, 3012 AA Rotterdam",09:00 - 22:00,3.9
Parken,Vroesenpark,,,,,,,,"Straat 233, 3013 AA Rotterdam",08:00 - 23:00,3.8
Restaurant,Los Toros,midden,Westers,all-you-can-eat,rustig,,,,"Straat 234, 3014 AA Rotterdam",10:00 - 00:00,4
Musea,Het Nieuwe Instituut,,,,,kunst,,,"Straat 235, 3015 AA Rotterdam",12:00 - 02:00,4.6
Musea,Maritiem Museum,,,,,Architectuur,,,"Straat 236, 3016 AA Rotterdam",07:00 - 20:00,4
Musea,Belasting & Douane Museum,,,,,kunst,,,"Straat 237, 3017 AA Rotterdam",12:00 - 02:00,4.3
Uitgaan,Club Vie,,,,,,rock,bar,"Straat 238, 3018 AA Rotterdam",10:00 - 00:00,3.7
Uitgaan,Maassilo,,,,,,jazz,bar,"Straat 239, 3019 AA Rotterdam",09:00 - 22:00,4.7
Musea,Chabot Museum,,,,,kunst,,,"Straat 240, 3010 AA Rotterdam",12:00 - 02:00,4
Uitgaan,Toffler,,,,,,house,bar,"Straat 241, 3011 AA Rotterdam",10:00 - 00:00,3.7
Uitgaan,Toffler,,,,,,veranderlijk,groot event met ticket,"Straat 242, 3012 AA Rotterdam",10:00 - 00:00,4.8
Uitgaan,Club Vie,,,,,,jazz,bar,"Straat 243, 3013 AA Rotterdam",07:00 - 20:00,4.8
Musea,Nederlands Fotomuseum,,,,,Historisch,,,"Straat 244, 3014 AA Rotterdam",09:00 - 22:00,3.6
Uitgaan,Now&Wow,,,,,,techno,groot event met ticket,"Straat 245, 3015 AA Rotterdam",10:00 - 00:00,4.5
Restaurant,FG Food Labs,midden,Italiaans,standaard concept,druk,,,,"Straat 246, 3016 AA Rotterdam",07:00 - 20:00,4.7
Restaurant,De Matroos en het Meisje,goedkoop,Midden-Oosten,fine-dining,druk,,,,"Straat 247, 3017 AA Rotterdam",10:00 - 00:00,5
Uitgaan,Club Vibes,,,,,,house,groot event met ticket,"Straat 248, 3018 AA Rotterdam",08:00 - 23:00,4.1
Uitgaan,Club Vibes,,,,,,techno,bar,"Straat 249, 3019 AA Rotterdam",09:00 - 22:00,4.9
Restaurant,Umami by Han,midden,Aziatisch,standaard concept,casual,,,,"Straat 250, 3010 AA Rotterdam",08:00 - 23:00,4.4
Musea,Het Nieuwe Instituut,,,,,Architectuur,,,"Straat 251, 3011 AA Rotterdam",12:00 - 02:00,4.1
Restaurant,Restaurant Fitzgerald,midden,Zuid-Amerikaans,all-you-can-eat,casual,,,,"Straat 252, 3012 AA Rotterdam",09:00 - 22:00,3.6
Restaurant,Little V,goedkoop,Zuid-Amerikaans,all-you-can-eat,chique,,,,"Straat 253, 3013 AA Rotterdam",08:00 - 23:00,4.8
Parken,Vroesenpark,,,,,,,,"Straat 254, 3014 AA Rotterdam",08:00 - 23:00,4
Musea,Belasting & Douane Museum,,,,,kunst,,,"Straat 255, 3015 AA Rotterdam",09:00 - 22:00,3.9
Parken,Dakpark,,,,,,,,"Straat 256, 3016 AA Rotterdam",07:00 - 20:00,4.9
Parken,Kralingse Bos,,,,,,,,"Straat 257, 3017 AA Rotterdam",08:00 - 23:00,3.9
Restaurant,Ayat,goedkoop,Midden-Oosten,all-you-can-eat,casual,,,,"Straat 258, 3018 AA Rotterdam",12:00 - 02:00,4.9
Musea,Natuurhistorisch Museum,,,,,Historisch,,,"Straat 259, 3019 AA Rotterdam",07:00 - 20:00,4.7
Parken,Schiebroekse Park,,,,,,,,"Straat 260, 3010 AA Rotterdam",10:00 - 00:00,3.6
Uitgaan,Club Vie,,,,,,Pop,groot event met ticket,"Straat 261, 3011 AA Rotterdam",12:00 - 02:00,4.2
Restaurant,Bazar,midden,Zuid-Amerikaans,all-you-can-eat,casual,,,,"Straat 262, 3012 AA Rotterdam",07:00 - 20:00,4.6
Uitgaan,Corso,,,,,,techno,groot event met ticket,"Straat 263, 3013 AA Rotterdam",12:00 - 02:00,4.6
Parken,Dakpark,,,,,,,,"Straat 264, 3014 AA Rotterdam",10:00 - 00:00,3.5
Uitgaan,Ahoy,,,,,,house,bar,"Straat 265, 3015 AA Rotterdam",08:00 - 23:00,4.6
Parken,Het Park bij de Euromast,,,,,,,,"Straat 266, 3016 AA Rotterdam",10:00 - 00:00,3.6
Parken,Zuiderpark,,,,,,,,"Straat 267, 3017 AA Rotterdam",08:00 - 23:00,4.7
Parken,Schiebroekse Park,,,,,,,,"Straat 268, 3018 AA Rotterdam",09:00 - 22:00,3.7
Musea,Het Nieuwe Instituut,,,,,fotografie,,,"Straat 269, 3019 AA Rotterdam",12:00 - 02:00,3.6
Restaurant,FG Food Labs,goedkoop,Aziatisch,fine-dining,rustig,,,,"Straat 270, 3010 AA Rotterdam",07:00 - 20:00,4.1
Uitgaan,Bird,,,,,,veranderlijk,bar,"Straat 271, 3011 AA Rotterdam",10:00 - 00:00,4.6
Parken,Lage Bergse Bos,,,,,,,,"Straat 272, 3012 AA Rotterdam",08:00 - 23:00,4
Parken,Zuiderpark,,,,,,,,"Straat 273, 3013 AA Rotterdam",12:00 - 02:00,3.7
Restaurant,Umami by Han,midden,Zuid-Amerikaans,standaard concept,casual,,,,"Straat 274, 3014 AA Rotterdam",10:00 - 00:00,3.9
Restaurant,De Matroos en het Meisje,goedkoop,Aziatisch,standaard concept,druk,,,,"Straat 275, 3015 AA Rotterdam",10:00 - 00:00,3.6
Parken,Vroesenpark,,,,,,,,"Straat 276, 3016 AA Rotterdam",10:00 - 00:00,4.5
Restaurant,Osteria Liz,duur,Westers,standaard concept,chique,,,,"Straat 277, 3017 AA Rotterdam",12:00 - 02:00,4.2
Uitgaan,Toffler,,,,,,jazz,bar,"Straat 278, 3018 AA Rotterdam",09:00 - 22:00,4.7
Musea,Chabot Museum,,,,,fotografie,,,"Straat 279, 3019 AA Rotterdam",07:00 - 20:00,4.9
Musea,Belasting & Douane Museum,,,,,Architectuur,,,"Straat 280, 3010 AA Rotterdam",09:00 - 22:00,4
Parken,Het Park bij de Euromast,,,,,,,,"Straat 281, 3011 AA Rotterdam",09:00 - 22:00,4.8
Uitgaan,Annabel,,,,,,rock,bar,"Straat 282, 3012 AA Rotterdam",09:00 - 22:00,4.2
Parken,Het Park bij de Euromast,,,,,,,,"Straat 283, 3013 AA Rotterdam",08:00 - 23:00,4.5
Restaurant,FG Food Labs,midden,Zuid-Amerikaans,standaard concept,rustig,,,,"Straat 284, 3014 AA Rotterdam",10:00 - 00:00,3.7
Parken,Oude Plantage,,,,,,,,"Straat 285, 3015 AA Rotterdam",07:00 - 20:00,4
Parken,Museumpark,,,,,,,,"Straat 286, 3016 AA Rotterdam",10:00 - 00:00,3.5
Uitgaan,Maassilo,,,,,,jazz,groot event met ticket,"Straat 287, 3017 AA Rotterdam",08:00 - 23:00,3.6
Parken,Museumpark,,,,,,,,"Straat 288, 3018 AA Rotterdam",10:00 - 00:00,4.8
Restaurant,FG Food Labs,duur,Italiaans,standaard concept,chique,,,,"Straat 289, 3019 AA Rotterdam",08:00 - 23:00,5
Musea,Depot Boijmans,,,,,Architectuur,,,"Straat 290, 3010 AA Rotterdam",12:00 - 02:00,4.5
Parken,Museumpark,,,,,,,,"Straat 291, 3011 AA Rotterdam",07:00 - 20:00,4.7
Musea,Natuurhistorisch Museum,,,,,Historisch,,,"Straat 292, 3012 AA Rotterdam",09:00 - 22:00,4.9
Parken,Museumpark,,,,,,,,"Straat 293, 3013 AA Rotterdam",12:00 - 02:00,4.1
Musea,Depot Boijmans,,,,,Architectuur,,,"Straat 294, 3014 AA Rotterdam",08:00 - 23:00,3.9
Restaurant,Ayat,duur,Zuid-Amerikaans,standaard concept,rustig,,,,"Straat 295, 3015 AA Rotterdam",07:00 - 20:00,4.3
Restaurant,Bazar,duur,Midden-Oosten,fine-dining,casual,,,,"Straat 296, 3016 AA Rotterdam",09:00 - 22:00,4.2
Parken,Dakpark,,,,,,,,"Straat 297, 3017 AA Rotterdam",10:00 - 00:00,4.5
Uitgaan,Club Vibes,,,,,,jazz,bar,"Straat 298, 3018 AA Rotterdam",10:00 - 00:00,4.3
Restaurant,Bazar,midden,Italiaans,fine-dining,rustig,,,,"Straat 299, 3019 AA Rotterdam",12:00 - 02:00,4.8
Musea,Boijmans van Beuningen,,,,,kunst,,,"Straat 300, 3010 AA Rotterdam",08:00 - 23:00,4
